"","mid","Freq"
"70","1946",2
"71","1948",1
"72","1949",2
"73","1950",2
"74","1951",2
"75","1952",1
"76","1953",3
"77","1954",4
"78","1955",3
"79","1956",2
"80","1957",3
"81","1958",9
"82","1959",1
"83","1960",4
"84","1961",5
"85","1962",6
"86","1963",4
"87","1964",6
"88","1965",4
"89","1966",1
"90","1967",6
"91","1968",4
"92","1969",2
"93","1970",2
"94","1971",3
"95","1972",3
"96","1973",2
"97","1974",1
"98","1975",2
"99","1976",4
"100","1977",3
"101","1978",1
"102","1979",7
"103","1980",2
"104","1981",5
"105","1982",6
"106","1983",11
"107","1984",3
"108","1985",5
"109","1986",5
"110","1987",4
"111","1988",3
"112","1989",2
"113","1990",2
"114","1991",3
"115","1992",3
"116","1993",5
"117","1994",3
"118","1995",1
"119","1996",3
"120","1997",4
"121","1998",4
"122","1999",3
"123","2000",8
"124","2001",3
"125","2002",3
"126","2003",4
"127","2004",5
"128","2005",3
"129","2006",1
"130","2007",3
"131","2008",4
"132","2009",2
"133","2010",3
